driver_number,image_url,teamshot_url
1, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/NOR.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/McLaren.png
3, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/VER.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Red_Bull.pngg
5, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/BOR.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Audi.png
6, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/HAD.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Red_Bull.png
10, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/GAS.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Alpine.png
11, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/PER.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Cadillac.png
12, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/ANT.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Mercedes.png
14, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/ALO.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Aston_Martin.png
16, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/LEC.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Ferrari.png
18, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/STR.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Aston_Martin.png
23, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/ALB.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Williams.png
27, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/HUL.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Audi.png
30, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/LAW.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Racing_Bulls.png
31, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/OCO.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Haas.png
41, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/LIN.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Racing_Bulls.png
43, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/COL.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Alpine.png
44, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/HAM.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Ferrari.png
55, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/SAI.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Williams.png
63, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/RUS.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Mercedes.png
77, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/BOT.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Cadillac.png
81, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/PIA.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/McLaren.png
87, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/BEA.png, https://raw.githubusercontent.com/Buck-Data/F1-Data/main/Haas.png
